C0,C1,C2,C3,phi,alpha,beta,E_hodge,E_ns,E_ym,E_bsd,E_zeta,E_pnp,E_total
0.5025224392194982,-0.4271498030661227,0.9757483326289829,0.7597866829093818,0.09933301361741098,0.49289007906341764,0.15868976597260387,1.9531642174511408,0.7771405665732374,1.179672242285621,0.6194479287849812,0.7998597491726093,1.1765773910339494,6.505862095301539
0.417399959933735,-0.9696148278866941,0.002547972356309103,0.9714645415789629,0.5908490819704421,0.968016427881331,0.4889763947379788,1.8595931597305566,0.8034378042090111,1.637014787820429,0.0018432215291402931,1.1757668354972526,0.9739350933566856,6.451590902143075
-0.32401755126488374,-0.08164276209602117,-0.08119994909129047,-0.9426844073399971,0.23864794412741364,0.75923672795421,0.1630977679792509,0.10441602916049636,0.6198913651095921,0.00762521083113743,1.0309206011684464,0.16245158863717257,0.9493137954658664,2.8746185903727115
0.48946381974832165,0.862543319422979,-0.7113539186751072,0.952435815902335,0.8928661993517981,0.888485673286089,0.3189356690367986,1.9329456518200105,1.5817920647843629,0.12307949967465737,1.308954737710883,0.3959213106220326,1.5660093862009057,6.908702650812852
0.7505259399412609,0.2928154065323898,0.952695390926563,-0.35445876078681726,0.6013949209309661,0.5389090124082384,0.682821756394466,0.8301721697921308,0.34395295530002895,0.7077105334088711,0.9692718621471441,1.0351429543648036,0.6334226489825128,4.519673123995491
-0.7190772566195285,-0.2537392669611789,-0.4119093655166115,0.2617798769702657,0.679002213761423,0.7248971886667827,0.5286568980450657,0.3400912399923717,0.4118798418910233,0.2153379896583496,0.1616287153912106,0.5177087268651969,0.1572622965096364,1.8039088103077885
-0.7124150545471786,-0.37716623159279616,0.66469358294673,0.3797967646108076,0.7884678242405382,0.8060934355587054,0.047383150552579134,0.9496686493808941,1.5290273433382315,0.08524882295438241,0.43918702619255,0.6437348786275231,0.6304967384547394,4.2773634589483205
-0.9542050858758067,-0.4992329539314351,-0.3182856655373545,0.8580130195072331,0.7642120319990379,0.9703384464050597,0.8024602382759376,0.05330781320818179,0.9791246281413455,0.20497213194437158,0.25747430068924126,0.6580498313319839,0.6991143265069868,2.8520430318221104
0.8945792197838809,-0.31256860773390005,-0.8241279143689046,-0.7525024251289483,0.9537566460523503,0.6746038180468773,0.09026876387438776,1.365188106581015,2.0197081042043648,1.457147827517781,1.744257852104889,0.958848916526945,1.0100989399178797,8.555249746852875
0.6168159898902439,0.4769904427727196,0.7449234327872973,0.05583418705620402,0.7896653732551545,0.7077358747965536,0.8767085283158296,0.5796125706739913,0.15044111771953506,0.38982554711752426,0.022086290886687454,0.5763409849596997,0.2994871709807832,2.017793682338221
0.2894156829895198,0.05507866733143851,-0.48068558324460886,-0.04908710820097828,0.007597112857189003,0.19204481027182396,0.34862790740057314,0.6088698245399372,0.78973610951452,0.4843370156580813,0.22506707080874955,0.5703147574079303,0.022611586870429974,2.7009363647996483
-0.07120340411468118,-0.8302501063906276,0.831075163089237,-0.16140826053720625,0.9835781518601447,0.9030343900825162,0.9842135985005487,2.2068986418959633,0.9668418714188007,1.0090467022759464,1.6823442936316357,0.03642675875595003,0.5285919820362409,6.430150250014538
0.5251484612213528,0.6622810165679218,-0.3938261963539207,0.9210059024476038,0.14179969698953787,0.8476482646633103,0.008339426462728228,1.2571296939087113,1.2873770185543152,0.11286744465343101,1.4281878460809287,0.5310290508246776,1.1818295161199563,5.798420570142021
-0.6204766538762634,0.36495342238771555,0.016283442472430076,0.9749395598394122,0.898202105507435,0.44771716663247896,0.3366071542293454,0.914375702524818,1.0267359202844584,0.7354300762639789,1.3396278317283747,0.6589083068534172,0.9689968617808453,5.644074699435893
-0.4588723513711308,-0.41515473745599296,-0.660630365957112,0.1824719504951542,0.268282949779727,0.6735324459181284,0.7647969417721403,0.5557406115083445,0.27474679478404285,0.20628238608486216,0.6691152673854666,0.47491180418668444,0.0917918756392272,2.272588739588628
-0.23473434938389337,-0.7442820320105397,0.4445137632553626,-0.44994018530645286,0.7897481704075093,0.26769553554937453,0.8275545109528107,1.5924260429813333,0.8592241867618371,0.7595476826266463,1.391814703040437,0.4171354434471237,0.11909657833409959,5.139244637191477
0.2044757647332689,0.7529289364723233,0.3955529224968759,-0.6258572177579342,0.02444885324989765,0.38556525148678933,0.065923045328522,0.7821883871394392,0.4414200448667807,0.2984531717390544,0.029390395781430434,0.45961389634208183,0.9236804590120263,2.934746354880813
0.43332897450314856,0.19803562020641552,0.2249012415072269,-0.07580429504813346,0.8047049808776874,0.046528693579772185,0.22570073079340713,0.10490517440789482,0.23874945101517503,0.48529335429673304,0.07165075672679005,0.24353010855238566,0.12034275189520999,1.2644715968941886
0.052856232417865856,0.9742323420524654,0.6583362606097001,0.9685151384925383,0.42352015375946284,0.9607286980825601,0.8976845732825023,0.9714306046705582,0.9928860835888496,0.6713761096345996,1.5093408485114408,0.3423241976516983,0.32714266146068793,4.8145005055178345
-0.9476085683557589,0.5458189638785709,0.23749270514491494,-0.766424765398646,0.9248369393107512,0.5135032289218506,0.682273816181666,1.1642038176265348,1.4916711796601323,1.2434275322343298,0.2770085865171247,0.7821305429115354,0.8960527876495624,5.854494446599221
0.28927795516566324,-0.15040126808399812,-0.7683695844517426,-0.1388835177414518,0.688698267985027,0.3138862455777275,0.8957252747586444,0.9581289424597736,1.1132009467139865,0.6896792232496614,0.8796766041359936,0.7626072939505761,0.2544472776001686,4.657740288110159
