iter,C0,C1,C2,C3,estabilidad
91,-5.289745456496871e-15,-7.948626826550283e-52,1.8469936276841064e-47,1.1284023876325645e-27,1.0
92,-3.74213137419084e-15,-2.2364565671980434e-52,5.829350147137607e-48,5.8235934240708115e-28,1.0
93,-2.647300770305356e-15,-6.292581204411653e-53,1.8398181037874764e-48,3.005509447745347e-28,1.0
94,-1.872783359984178e-15,-1.7705051282853034e-53,5.806703268092844e-49,1.5511191085472836e-28,1.0
95,-1.3248655206748843e-15,-4.981562108545959e-54,1.832670456621128e-49,8.005200218902705e-29,1.0
96,-9.372513048642003e-16,-1.4016316950933996e-54,5.784144371604888e-50,4.1314190632812026e-29,1.0
97,-6.630408858569814e-16,-3.943685466292067e-55,1.8255505778846637e-50,2.1321919514441543e-29,1.0
98,-4.690558594439175e-16,-1.1096106852811221e-55,5.761673115863713e-51,1.1004070146765921e-29,1.0
99,-3.3182478482349455e-16,-3.1220437923201677e-56,1.8184583596984302e-51,5.679111569337358e-30,1.0
100,-2.3474323069686213e-16,-8.784303873836103e-57,5.7392891603872176e-52,2.930943531513231e-30,1.0
101,-1.66064703054992e-16,-2.4715859123342736e-57,1.811393694601884e-52,1.512636242489173e-30,1.0
102,-1.1747936466102024e-16,-6.954150277341851e-58,5.716992166016064e-53,7.806593260807199e-31,1.0
103,-8.310857676111139e-17,-1.9566467764084422e-58,1.8043564755519632e-53,4.02891961912757e-31,1.0
104,-5.87936064447351e-17,-5.505297491346331e-59,5.69478179490854e-54,2.079292817634595e-31,1.0
105,-4.1592435985450165e-17,-1.5489919199344268e-59,1.797346595921465e-54,1.0731061997218558e-31,1.0
106,-2.9423790031146886e-17,-4.3583039277962254e-60,5.67265771053544e-55,5.538214272251926e-32,1.0
107,-2.0815309305275557e-17,-1.2262693486385719e-60,1.7903639494974314e-55,2.858227576480774e-32,1.0
108,-1.4725400807157773e-17,-3.450279146022822e-61,5.650619577674966e-56,1.4751081264382578e-32,1.0
109,-1.0417209072001935e-17,-9.707839634658162e-62,1.7834084304795383e-56,7.612913690250458e-33,1.0
110,-7.369459498654223e-18,-2.731435526915959e-62,5.628667062407649e-57,3.9289631598154355e-33,1.0
111,-5.213386131249844e-18,-7.685273262099343e-63,1.776479933478494e-57,2.027706097726564e-33,1.0
112,-3.688112399351892e-18,-2.1623583837553395e-63,5.6067998321112874e-58,1.0464827109630198e-33,1.0
113,-2.6090860580457753e-18,-6.084095672766935e-64,1.7695783535144407e-58,5.400812600861394e-34,1.0
114,-1.845749077355963e-18,-1.7118448280111534e-64,5.585017555455909e-59,2.787315685586513e-34,1.0
